car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link
a5,audi,audi a5 sportback 35 tdi sport s tronic,2019,149500,28490,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imdym3locdu3a25wcs1tverwvexqvcj9.pexr8tenplq0ykwizeqnggykfbobcfmpn4c4jjotaoq/image;s=320x240
a4,audi,audi a4 avant 2.0 tdi multitronic business line,2013,188074,15450,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ind5m3f1mnaxd2ztnzetu1revlrmufqifq.kae8tbk4o-ykp92z_ka1bcnlduxahfxa9qo3bgkfgmo/image;s=320x240
a3,audi,audi a3 sportback 40 tfsie s line,2021,89000,36500,hibrido,automatica,none
c4,citroen,citroen c4 1.6 hdi 110 exclusive,2006,115000,6500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ime1znfnzhz6m2nymditu1revlrmufqifq.zisqd3pbzmhsnmbi4ry8k_9dakwt0twdqz-cif7qm9u/image;s=320x240
c4,citroen,citroen c4 spacetourer 1.5 bluehdi shine,2020,106183,23500,diesel,manual,none
c3,citroen,citroen c3 1.6 bluehdi shine,2018,160000,14950,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijrmm2m5dnc1ynhtetitu1revlrmufqifq.zqfq31c36shl56jxjaqsyxwjeebfpxjd87wimzf9ota/image;s=320x240
a1,audi,audi a1 sportback 25 tfsi advanced,2022,35000,22890,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imlzcwzyz25qy3zkddetu1revlrmufqifq.v0uim8d74ttkcbmc_xcvrqf0p4qtrs8l1h5wmllspdm/image;s=320x240
c3,citroen,citroen c3 1.2 vti seduction,2012,148000,7900,gasolina,manual,none
c5,citroen,citroen c5 x 1.6 hybrid shine pack e-eat8,2023,11000,38480,hibrido,automatica,none
c3,citroen,citroen c3 1.2 puretech shine,2020,46455,13990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im9zoxe5dhnjcdjjyi1tverwvexqvcj9.njiuw0-yl4doelaqwn7ha9npstxaus9kerqjpjtkhoa/image;s=320x240
a4,audi,audi a4 avant 2.0 tdi advance s tronic,2018,180958,19990,diesel,automatica,none
a4,audi,audi a4 allroad 2.0 tdi quattro s tronic,2018,73000,38950,diesel,automatica,none
a5,audi,audi a5 cabrio 2.0 tdi s-line,2010,191000,17999,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im5qog1xc2nxcmdunditu1revlrmufqifq.ktsl6fq5dxpr3wfxwa_5tlh5-_c2bk_7e90sf9xzns0/image;s=320x240
a5,audi,audi a5 sportback 2.0 tdi multitronic s-line,2016,139000,25950,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imf5agrlb2l5n2d6ddmtu1revlrmufqifq.awddxwncgfqrkgojqekhy_qsny-sizywblobprgk-r8/image;s=320x240
a6,audi,audi a6 2.0 tdi advance s tronic,2015,466000,13990,diesel,automatica,none
c3,citroen,citroen c3 1.2 puretech c-series,2022,26139,16899,gasolina,manual,none
c4,citroen,citroen grand c4 spacetourer 1.5 bluehdi shine eat8,2019,126143,20900,diesel,automatica,none
c4,citroen,citroen c4 cactus 1.6 bluehdi feel,2015,135000,13900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inr1dgo4mgx2zjqzmzitu1revlrmufqifq.upigbviyxgmqt6bd-0zifhzo8ze_i30nwvvirj8k94m/image;s=320x240
tt,audi,audi tts coupe 2.0 tfsi quattro s tronic,2009,151000,23990,gasolina,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijr6ahixoxltnhppnzitu1revlrmufqifq.snxxlgrf0_fg60dgncwzvp1lwpfaum2ejoqxx4arebo/image;s=320x240
a6,audi,audi a6 2.0 tdi exclusive,2004,197000,8750,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6innya2hycjazzmg1odmtu1revlrmufqifq.o8bwfpb9wwr04-0xjyd1fdhisxpk5vauq0wfav10wni/image;s=320x240
a1,audi,audi a1 1.6 tdi ambition,2013,193293,12900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijvidtz3b3f2nhpnbdetu1revlrmufqifq.edbfhmgyhscuoeatot1wdl4py6egh5xh_dlfub1hrcw/image;s=320x240
c4,citroen,citroen c4 grand picasso 1.6 hdi seduction,2014,160000,13990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inp0cgqwzgf0zjd5ctmtu1revlrmufqifq.njqel0ckq9qtp4emsmcueae4xvbdv1eglxzh4azb3zo/image;s=320x240
a6,audi,audi a6 avant 2.0 tdi exclusive multitronic,2014,189000,22500,diesel,automatica,none
a5,audi,audi a5 2.0 tdi s-line,2012,194000,20750,diesel,manual,none
c4,citroen,citroen c4 grand picasso 1.6 e-hdi exclusive etg6,2015,143000,15790,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im4yanfryxy2bdbidc1tverwvexqvcj9.3wkdxzqqdyooup1emnxz82a9xpbrpw1e16_n53qwffy/image;s=320x240
,citroen,citroen 2cv,1995,35835,24950,gasolina,manual,none
c3,citroen,citroen c3 aircross 1.5 bluehdi shine s&s,2019,123000,17450,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6infqz3eyehg4ahn0yjitu1revlrmufqifq.kdbb8jqp2inc0sl2u5xfktwmrqiz2kagpsa4tznbcxc/image;s=320x240
c4,citroen,citroen c4 cactus 1.6 bluehdi shine,2018,138000,16950,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijyyn3djbgxobdjpodetu1revlrmufqifq.jrvyat1tioh5xmjtqiassa2quezmyzwvpkherlklrja/image;s=320x240
a3,audi,audi a3 cabrio 1.6 tdi,2018,125605,24550,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6injmbm9hcnfoztg3yjitu1revlrmufqifq.yvgffxdwmvxmhji37jv0wd2ujatsqip3lnpk1ahblfe/image;s=320x240
c4,citroen,citroen e-c4 shine pack,2022,1,33990,electrico,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijk5nxfydmhydxbszdmtu1revlrmufqifq.jzsrpvwczfxj8h8t4o0rcrvztlryiyvju-rnculkhl8/image;s=320x240
