car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link
polo,vw,vw polo 1.6 tdi trendline,2019,128000,17500,diesel,manual,none
clio,renault,renault clio sport tourer 0.9 tce limited,2019,33025,13500,gasolina,manual,none
clio,renault,renault clio 1.0 tce rs line,2021,79503,18990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6impvdgnwodbyzdz2otetu1revlrmufqifq.hdg2hnsz9odit1hnix_zh2epdqs_t6jnclsonjl6rwk/image;s=320x240
clio,renault,renault clio energy tce 90 start & stop intens,2014,68000,12900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inmwnm50dgrpamlycdmtu1revlrmufqifq.di1ab4q3kxpxh2mkan-kiozo8dsfbvs07u7jvq2qhcm/image;s=320x240
clio,renault,renault clio 1.0 tce intens,2021,26407,18950,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6invlbwtim25onmpybs1tverwvexqvcj9.ul0awaje0hd7xi7xib74idtbfanfcdz13hkvtczzgfi/image;s=320x240
clio,renault,renault clio 1.5 dci limited,2016,84555,12900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijlpewvvewozawg0ztmtu1revlrmufqifq.a2cegwsmx7iyzxpp6squqhpt3gqrjicuxum4-jc13tk/image;s=320x240
clio,renault,renault clio 1.5 dci zen,2017,139000,12990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijlhbmn3emj0d3axddmtu1revlrmufqifq.fyt246g3yxt9is8wdu5om3zgjyumjszpzt0ifu0ldfa/image;s=320x240
clio,renault,renault clio sport tourer 1.5 dci dynamique s 90g,2015,103000,12490,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijiyetzkyxeynxf3mditu1revlrmufqifq.alze7opwicwb1aanzki5pcsejgvcy8dzywtcd6cytmq/image;s=320x240
clio,renault,renault clio sport tourer,2018,125000,13990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijvznxmwz3pumtlhetitu1revlrmufqifq.fylgu0lhtvivqhpucg9wnec6wjkcdjyoaxch7_6llno/image;s=320x240
clio,renault,renault clio sport tourer 1.5 dci limited,2018,105000,13990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imz4b2e3dw5zoty2zdmtu1revlrmufqifq.5agyv0bmiuoyepyads1b-3kaim7yjduui_svhwla_xi/image;s=320x240
